beta_hml,beta_mk,beta_mom,beta_smb,firmcode,industry,logv,sigma,skewness,region
0.009263365,1.2012977,0.11003221,0.043395665,600149,10,8.630279454,0.95914386,1.6978916,17
0.012723594,0.76423282,0.16679287,0.005739903,600150,10,7.550966664,0.67245157,0.19315873,17
0.008504953,0.79381406,0.10791558,0.021569424,600151,4,8.91932499,0.97948135,1.9209291,23
0.000758667,0.89049093,0.1044589,0.020722306,600152,16,8.069378485,0.57371613,0.12789158,13
0.007148549,0.67951199,0.12757712,0.013342835,600153,7,8.66797893,0.48914025,-0.32317094,30
0.00196771,1.3110314,-0.010275747,0.019711197,600155,4,8.17983692,0.61678951,0.004894274,5
-0.002155243,1.0523045,0.11985422,0.029556964,600156,21,8.328058985,0.79912305,2.4873193,14
-0.000636699,1.2167597,0.081560238,0.019456946,600157,19,7.840112491,0.77373704,1.4158075,19
0.012980848,1.1575927,0.099977049,0.027991269,600158,18,9.339897816,0.87459708,0.17799678,2
0.01545478,0.83333902,0.086723125,0.023964383,600159,7,8.284745667,0.78214921,-0.15282509,23
-0.001025062,0.80090449,0.088486913,0.019475794,600160,11,8.556272606,0.5711072,0.10357561,2
0.006934691,0.52571424,0.17604438,0.006865091,600161,18,8.193584235,0.62822497,-0.18912732,14
-0.008191647,0.71269264,0.14980068,0.013398696,600162,6,8.669095866,0.67202417,0.050928869,13
0.006078091,0.73967862,0.071730709,0.021114521,600163,9,8.530665333,0.56341173,-0.021579467,11
0.002591862,0.82035595,0.089810596,0.027992036,600165,10,8.095076095,0.72169447,0.18657335,2
0.003632435,0.69655018,0.19467395,0.015333514,600166,18,8.877067899,0.65754667,0.13081164,9
-0.001782073,0.56159656,0.11521863,0.023364017,600167,12,7.501376943,0.76512876,0.27471502,4
0.009869453,0.76410173,0.06706744,0.019632417,600168,10,8.088710029,0.51246192,-0.062767236,15
-0.001889813,0.81386904,0.10095973,0.010008067,600169,13,8.151130636,0.66574492,0.27019574,17
0.005381106,0.62116481,0.09740749,0.013690047,600170,8,8.604356219,0.52959412,0.84964046,17
-0.002554814,0.8051474,0.046361457,0.022266673,600171,9,9.055272754,0.63558001,0.48720281,31
-0.005057864,0.71470463,0.058210908,0.022752769,600172,18,8.191260676,0.54426706,-0.52258199,3
0.01543112,0.70719189,0.17157189,0.025962908,600173,18,8.038386255,0.89055341,0.89506152,23
0.010861368,0.74848959,0.15819218,0.026252216,600175,7,7.637580086,0.71906296,1.2520484,2
-0.000261065,0.88545492,0.051844595,0.007855182,600176,4,8.182049296,0.56447042,1.2271577,23
-0.004724192,0.81170709,0.14202557,0.009083183,600177,10,9.427298916,0.72690576,2.7760847,3
-0.000298748,0.68431363,0.1330043,0.021444707,600178,7,8.337398336,0.61109967,0.82904466,3
-0.006568321,1.0521489,0.026824397,0.028271192,600179,1,8.379114125,0.65431531,1.0977664,14
-0.023873952,0.63807617,0.20313388,0.021882964,600180,7,8.111908597,0.88285075,1.0361328,3
-0.007816708,0.78889128,0.089786744,0.026427121,600182,10,8.202869522,0.68019015,0.50113905,26
0.011108561,0.71390209,0.11507617,0.007494008,600183,9,9.089272924,0.64420475,-0.4387927,4
0.004089186,0.83783525,0.09919495,0.038463008,600184,19,7.559613846,0.89384144,0.69827534,16
0.012326587,0.77394924,0.12024263,0.025625875,600185,3,8.214154392,0.80976148,1.3052297,31
0.01279762,0.87727552,0.065161497,0.025144164,600186,6,9.568527133,0.63465706,-0.001800535,3
-0.012837825,0.56955495,0.021355314,0.017133774,600187,2,7.840419707,0.69540066,-0.77822902,14
-0.002998895,0.89122477,0.027572793,0.007037741,600188,1,9.10306262,0.46279564,0.025000841,6
0.00891639,0.91774882,0.05028161,0.011719853,600189,14,8.268542019,0.48955165,-0.2765499,9
1.57E-05,0.80849968,0.039409793,0.021697898,600190,3,8.645576679,0.59648537,0.89888592,10
0.005746196,0.76251131,0.14280915,0.018335617,600191,10,8.319412272,0.71239134,1.3600046,24
-0.004061344,0.88445768,0.11396426,0.020857464,600192,21,7.90792286,0.62471969,0.70426308,13
-0.008936152,0.82524177,0.17048712,0.028850788,600193,3,7.906310888,0.73981066,0.82655772,2
0.010442367,0.84166546,0.097755463,0.015144142,600195,11,8.074352611,0.74228853,0.52423518,17
0.007150549,0.66811942,0.075052025,0.014525178,600196,3,9.127291512,0.50099649,0.51165281,21
0.008833663,0.87215142,0.072311663,0.018995891,600197,15,8.418547304,0.55930158,0.16706033,2
0.008822234,0.61282994,0.14159605,0.016826426,600198,3,8.552893118,0.73822762,0.072016909,1
0.003930297,0.65630083,0.16593471,0.023182372,600199,21,8.428287002,0.64099895,0.87702071,7
0.003752969,0.3881825,0.068067629,0.021273717,600200,11,9.013676531,0.61428632,-0.44588779,10
0.020156127,0.63742932,0.12331913,0.014166287,600201,10,8.314738909,0.64118543,0.107571,3
-0.005078985,0.70103899,0.077506845,0.014110315,600202,8,8.093385003,0.72668427,1.6406207,13
0.016852715,0.9864193,0.21807475,0.025736396,600203,21,8.378916914,0.92386277,-2.3533213,2
0.005957331,0.60127374,0.1791462,0.007301724,600206,8,7.794935914,0.66196654,0.56523644,31
-0.013902195,0.8175025,0.083008803,0.023990082,600207,21,8.504742502,0.70521769,0.67443878,23
0.00681517,0.87096458,0.13480588,0.02407404,600208,21,8.75551894,0.69700136,0.23789799,29
0.003643316,0.87380857,0.1153966,0.026916142,600209,21,8.827684675,0.90347744,0.074049886,17
0.005016888,0.66135368,0.1254511,0.018213738,600210,11,9.803819581,0.5294455,0.28234551,20
0.012479789,0.75714263,0.078726295,0.017225273,600211,12,7.299054997,0.54134444,0.03601608,14
0.00900273,0.65080127,0.14166792,0.024315709,600212,10,8.88305269,0.60266097,-0.25047334,7
-0.018217549,2.2891962,-0.006129496,0.042300243,600213,18,7.589691703,2.5866029,8.7345127,6
0.001378527,0.79500255,0.121662,0.019966756,600215,11,8.52239279,0.46767005,0.21780864,23
-0.003042231,0.9043453,0.010267366,0.011494735,600216,9,8.68017648,0.66056261,0.78282492,16
-0.005554242,0.52939349,0.17578379,0.036773519,600217,10,8.871760618,0.87594432,-0.17064065,1
-0.002234226,0.75753167,0.12361113,0.022966716,600218,9,8.041541836,0.62374852,0.38640452,14
0.001353728,0.84704273,0.1310148,0.005582092,600219,4,9.08093332,0.51055182,-0.22436001,7
-0.01280955,0.96677884,0.033425335,0.028620649,600220,14,9.857248255,0.83796284,3.1435643,29
0.004626778,0.9256488,0.098789635,0.019269781,600221,11,9.524933278,0.56537755,0.69601626,31
0.004625613,0.42971771,0.11236764,0.016572672,600222,21,8.160944157,0.58049573,0.27481498,14
0.00245258,0.43390546,0.15045186,0.019887008,600223,1,8.314045925,0.74100055,-0.0753795,17
0.005887493,0.66267641,0.049733533,0.020881038,600225,7,7.689484602,0.73232806,0.82693294,23
